event,sport,dim_event_key
Gymnastics Women's Uneven Bars,Gymnastics,169
Beach Volleyball Men's Beach Volleyball,Beach Volleyball,170
"Wrestling Men's Featherweight, Greco-Roman",Wrestling,171
Handball Women's Handball,Handball,172
"Wrestling Women's Lightweight, Freestyle",Wrestling,173
Athletics Men's Shot Put,Athletics,174
Athletics Women's 4 x 100 metres Relay,Athletics,175
"Athletics Women's 1,500 metres",Athletics,176
Athletics Women's Long Jump,Athletics,177
Athletics Women's Hammer Throw,Athletics,178
"Cycling Men's Mountainbike, Cross-Country",Cycling,179
Athletics Men's 400 metres Hurdles,Athletics,180
Taekwondo Men's Heavyweight,Taekwondo,181
Handball Men's Handball,Handball,182
Athletics Women's 200 metres,Athletics,183
Gymnastics Women's Floor Exercise,Gymnastics,184
Trampolining Women's Individual,Trampolining,185
Athletics Men's Triple Jump,Athletics,186
Gymnastics Women's Team All-Around,Gymnastics,187
"Wrestling Men's Heavyweight, Freestyle",Wrestling,188
Boxing Men's Light-Flyweight,Boxing,189
Taekwondo Women's Flyweight,Taekwondo,190
Athletics Women's Marathon,Athletics,191
Gymnastics Men's Individual All-Around,Gymnastics,192
"Wrestling Women's Heavyweight, Freestyle",Wrestling,193
Boxing Men's Heavyweight,Boxing,194
"Wrestling Men's Featherweight, Freestyle",Wrestling,195
Volleyball Men's Volleyball,Volleyball,196
Cycling Women's Keirin,Cycling,197
Athletics Men's 4 x 400 metres Relay,Athletics,198
"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling,199
Athletics Men's Long Jump,Athletics,200
Athletics Men's 4 x 100 metres Relay,Athletics,201
Cycling Men's Individual Time Trial,Cycling,202
Athletics Men's 800 metres,Athletics,203
Athletics Women's High Jump,Athletics,204
Cycling Men's BMX,Cycling,205
Basketball Women's Basketball,Basketball,206
"Wrestling Men's Welterweight, Freestyle",Wrestling,207
Boxing Men's Lightweight,Boxing,208
Cycling Women's Team Sprint,Cycling,209
"Wrestling Women's Light-Heavyweight, Freestyle",Wrestling,210
"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling,211
"Equestrianism Mixed Three-Day Event, Team",Equestrianism,212
Taekwondo Women's Heavyweight,Taekwondo,213
"Equestrianism Mixed Dressage, Team",Equestrianism,214
Trampolining Men's Individual,Trampolining,215
Gymnastics Women's Horse Vault,Gymnastics,216
Athletics Men's Discus Throw,Athletics,217
"Wrestling Men's Welterweight, Greco-Roman",Wrestling,218
Athletics Men's 50 kilometres Walk,Athletics,219
Athletics Men's 20 kilometres Walk,Athletics,220
Taekwondo Men's Featherweight,Taekwondo,221
Athletics Women's 20 kilometres Walk,Athletics,222
"Wrestling Men's Middleweight, Greco-Roman",Wrestling,223
"Equestrianism Mixed Jumping, Team",Equestrianism,224
Boxing Men's Bantamweight,Boxing,225
"Equestrianism Mixed Jumping, Individual",Equestrianism,226
Athletics Men's Javelin Throw,Athletics,227
"Equestrianism Mixed Dressage, Individual",Equestrianism,228
Synchronized Swimming Women's Duet,Synchronized Swimming,229
Athletics Women's Javelin Throw,Athletics,230
Athletics Women's Discus Throw,Athletics,231
Athletics Men's Hammer Throw,Athletics,232
